   TRBTD 3  3  4  3  3  4  0  0  1  3      0.686336
   TRBTD 3  3  4  3  4  3  0  2  1  3     -0.420293
   TRBTD 3  3  4  3  4  3  0  4  1  3     -0.542596
   TRBTD 3  3  4  4  3  3  0  2  1  3     -0.420293
   TRBTD 3  3  4  4  3  3  0  4  1  3      0.542596
   TRBTD 3  4  3  3  3  4  2  0  1  3     -0.420293
   TRBTD 3  4  3  3  4  3  2  2  1  3      0.257376
   TRBTD 3  4  3  3  4  3  2  4  1  3      0.332271
   TRBTD 3  4  3  4  3  3  2  2  1  3      0.257376
   TRBTD 3  4  3  4  3  3  2  4  1  3     -0.332271
   TRBTD 3  4  3  3  3  4  4  0  1  3     -0.542596
   TRBTD 3  4  3  3  4  3  4  2  1  3      0.332271
   TRBTD 3  4  3  3  4  3  4  4  1  3      0.428960
   TRBTD 3  4  3  4  3  3  4  2  1  3      0.332271
   TRBTD 3  4  3  4  3  3  4  4  1  3     -0.428960
   TRBTD 4  3  3  3  3  4  2  0  1  3     -0.420293
   TRBTD 4  3  3  3  4  3  2  2  1  3      0.257376
   TRBTD 4  3  3  3  4  3  2  4  1  3      0.332271
   TRBTD 4  3  3  4  3  3  2  2  1  3      0.257376
   TRBTD 4  3  3  4  3  3  2  4  1  3     -0.332271
   TRBTD 4  3  3  3  3  4  4  0  1  3      0.542596
   TRBTD 4  3  3  3  4  3  4  2  1  3     -0.332271
   TRBTD 4  3  3  3  4  3  4  4  1  3     -0.428960
   TRBTD 4  3  3  4  3  3  4  2  1  3     -0.332271
   TRBTD 4  3  3  4  3  3  4  4  1  3      0.428960
   TRBTD 3  3  3  3  3  3  0  0  3  3      3.313664
   TRBTD 3  3  3  3  3  3  0  4  3  3     -7.409578
   TRBTD 3  3  3  3  4  4  0  2  3  3     -0.923503
   TRBTD 3  3  3  3  4  4  0  4  3  3      1.192237
   TRBTD 3  3  3  4  3  4  0  2  3  3     -0.923503
   TRBTD 3  3  3  4  3  4  0  4  3  3     -1.192237
   TRBTD 3  3  3  4  4  3  0  0  3  3      1.508074
   TRBTD 3  3  3  3  3  3  4  0  3  3     -7.409578
   TRBTD 3  3  3  3  3  3  4  4  3  3     16.568321
   TRBTD 3  3  3  3  4  4  4  2  3  3      2.065015
   TRBTD 3  3  3  3  4  4  4  4  3  3     -2.665923
   TRBTD 3  3  3  4  3  4  4  2  3  3      2.065015
   TRBTD 3  3  3  4  3  4  4  4  3  3      2.665923
   TRBTD 3  3  3  4  4  3  4  0  3  3     -3.372156
   TRBTD 3  4  4  3  3  3  2  0  3  3     -0.923503
   TRBTD 3  4  4  3  3  3  2  4  3  3      2.065015
   TRBTD 3  4  4  3  4  4  2  2  3  3      0.257376
   TRBTD 3  4  4  3  4  4  2  4  3  3     -0.332271
   TRBTD 3  4  4  4  3  4  2  2  3  3      0.257376
   TRBTD 3  4  4  4  3  4  2  4  3  3      0.332271
   TRBTD 3  4  4  4  4  3  2  0  3  3     -0.420293
   TRBTD 3  4  4  3  3  3  4  0  3  3      1.192237
   TRBTD 3  4  4  3  3  3  4  4  3  3     -2.665923
   TRBTD 3  4  4  3  4  4  4  2  3  3     -0.332271
   TRBTD 3  4  4  3  4  4  4  4  3  3      0.428960
   TRBTD 3  4  4  4  3  4  4  2  3  3     -0.332271
   TRBTD 3  4  4  4  3  4  4  4  3  3     -0.428960
   TRBTD 3  4  4  4  4  3  4  0  3  3      0.542596
   TRBTD 4  3  4  3  3  3  2  0  3  3     -0.923503
   TRBTD 4  3  4  3  3  3  2  4  3  3      2.065015
   TRBTD 4  3  4  3  4  4  2  2  3  3      0.257376
   TRBTD 4  3  4  3  4  4  2  4  3  3     -0.332271
   TRBTD 4  3  4  4  3  4  2  2  3  3      0.257376
   TRBTD 4  3  4  4  3  4  2  4  3  3      0.332271
   TRBTD 4  3  4  4  4  3  2  0  3  3     -0.420293
   TRBTD 4  3  4  3  3  3  4  0  3  3     -1.192237
   TRBTD 4  3  4  3  3  3  4  4  3  3      2.665923
   TRBTD 4  3  4  3  4  4  4  2  3  3      0.332271
   TRBTD 4  3  4  3  4  4  4  4  3  3     -0.428960
   TRBTD 4  3  4  4  3  4  4  2  3  3      0.332271
   TRBTD 4  3  4  4  3  4  4  4  3  3      0.428960
   TRBTD 4  3  4  4  4  3  4  0  3  3     -0.542596
   TRBTD 4  4  3  3  3  3  0  0  3  3      1.508074
   TRBTD 4  4  3  3  3  3  0  4  3  3     -3.372156
   TRBTD 4  4  3  3  4  4  0  2  3  3     -0.420293
   TRBTD 4  4  3  3  4  4  0  4  3  3      0.542596
   TRBTD 4  4  3  4  3  4  0  2  3  3     -0.420293
   TRBTD 4  4  3  4  3  4  0  4  3  3     -0.542596
   TRBTD 4  4  3  4  4  3  0  0  3  3      0.686336
